sales_date;order_id;customer_name;product_name;category;price;quantity;discount;total;shipping_fee;total_sales;status;shipping_address
2025-02-05;ORD00044;Customer_2206;Bufet;Ruang Tamu;3250000;2;0;6500000;60000;6560000;completed;Kelurahan 83, Jakarta Pusat
2025-10-10;ORD00045;Customer_3025;Lemari Laci;Kamar Tidur;1950000;3;0,1;5265000;60000;5325000;completed;Kelurahan 102, Jakarta Selatan
2025-08-06;ORD00046;Customer_321;Lemari Baju;Kamar Tidur;3500000;3;0;10500000;60000;10560000;completed;Kelurahan 115, Jakarta Selatan
2025-03-20;ORD00047;Customer_3391;Bufet;Ruang Tamu;3250000;3;0;9750000;60000;9810000;completed;Kelurahan 37, Jakarta Utara
2025-09-07;ORD00048;Customer_3475;Rak Meja;Ruang Kerja;750000;3;0;2250000;50000;2300000;completed;Kelurahan 47, Bogor
2025-06-10;ORD00049;Customer_405;Meja Makan;Ruang Makan;3200000;3;0;9600000;60000;9660000;completed;Kelurahan 147, Tangerang
2025-05-16;ORD00050;Customer_2853;Lemari Dapur;Dapur;1850000;3;0;5550000;60000;5610000;completed;Kelurahan 117, Jakarta Pusat
2025-06-08;ORD00051;Customer_290;Lemari TV;Ruang Tamu;2300000;1;0;2300000;60000;2360000;completed;Kelurahan 186, Jakarta Selatan
2025-09-08;ORD00052;Customer_2048;Nakas;Kamar Tidur;1000000;3;0;3000000;50000;3050000;refund;Kelurahan 80, Depok
2025-09-17;ORD00053;Customer_2212;Meja Kopi;Ruang Tamu;1800000;2;0;3600000;60000;3660000;completed;Kelurahan 22, Jakarta Utara
2025-09-22;ORD00054;Customer_2322;Nakas;Kamar Tidur;1000000;1;0;1000000;50000;1050000;completed;Kelurahan 178, Depok
2025-04-30;ORD00055;Customer_358;Kursi Bar;Ruang Makan;1295000;1;0;1295000;60000;1355000;refund;Kelurahan 172, Jakarta Utara
2025-06-16;ORD00056;Customer_2236;Lemari Laci;Kamar Tidur;1950000;3;0;5850000;60000;5910000;completed;Kelurahan 86, Jakarta Pusat
2025-04-04;ORD00057;Customer_841;Lemari Laci;Kamar Tidur;1950000;1;0,1;1755000;60000;1815000;completed;Kelurahan 152, Tangerang
2025-05-27;ORD00058;Customer_3277;Nakas;Kamar Tidur;1000000;1;0;1000000;50000;1050000;completed;Kelurahan 39, Bogor
2025-01-29;ORD00059;Customer_3182;Lemari Sliding;Kamar Tidur;4750000;1;0;4750000;50000;4800000;completed;Kelurahan 171, Bekasi
2025-07-13;ORD00060;Customer_1810;Kitchen Set;Dapur;9500000;2;0;19000000;60000;19060000;completed;Kelurahan 22, Jakarta Barat
2025-05-17;ORD00061;Customer_979;Meja Kopi;Ruang Tamu;1800000;2;0;3600000;50000;3650000;completed;Kelurahan 24, Bekasi
2025-09-29;ORD00062;Customer_1408;Meja Kopi;Ruang Tamu;1800000;1;0;1800000;50000;1850000;completed;Kelurahan 134, Bekasi
2025-10-05;ORD00063;Customer_2399;Lemari Laci;Kamar Tidur;1950000;3;0;5850000;60000;5910000;completed;Kelurahan 170, Tangerang Selatan
2025-07-24;ORD00064;Customer_2287;Rak Meja;Ruang Kerja;750000;2;0;1500000;60000;1560000;completed;Kelurahan 182, Jakarta Utara
2025-06-16;ORD00065;Customer_289;Meja Kopi;Ruang Tamu;1800000;2;0;3600000;60000;3660000;completed;Kelurahan 148, Tangerang
2025-01-19;ORD00066;Customer_1426;Lemari Baju;Kamar Tidur;3500000;2;0;7000000;60000;7060000;completed;Kelurahan 199, Tangerang
2025-01-30;ORD00067;Customer_2436;Lemari Sliding;Kamar Tidur;4750000;3;0;14250000;50000;14300000;completed;Kelurahan 92, Depok
2025-02-27;ORD00068;Customer_2937;Meja;Ruang Kerja;1250000;3;0;3750000;50000;3800000;completed;Kelurahan 115, Bogor
2025-05-06;ORD00069;Customer_3259;Rak Buku;Penyimpanan;1100000;1;0;1100000;60000;1160000;completed;Kelurahan 106, Jakarta Utara
2025-10-17;ORD00070;Customer_263;Lemari Dapur;Dapur;1850000;2;0;3700000;60000;3760000;completed;Kelurahan 20, Jakarta Utara
2025-09-12;ORD00071;Customer_2762;Meja Kopi;Ruang Tamu;1800000;3;0;5400000;50000;5450000;completed;Kelurahan 168, Bekasi
2025-10-01;ORD00072;Customer_1739;Lemari Sliding;Kamar Tidur;4750000;2;0;9500000;50000;9550000;completed;Kelurahan 78, Depok
2025-07-13;ORD00073;Customer_1694;Lemari Laci;Kamar Tidur;1950000;2;0;3900000;60000;3960000;completed;Kelurahan 159, Jakarta Selatan
2025-03-13;ORD00074;Customer_2539;Lemari Sudut;Ruang Tamu;2750000;1;0;2750000;60000;2810000;completed;Kelurahan 58, Jakarta Barat
2025-11-10;ORD00075;Customer_3201;Meja;Ruang Kerja;1250000;3;0;3750000;50000;3800000;completed;Kelurahan 15, Bekasi
2025-07-12;ORD00076;Customer_1319;Lemari TV;Ruang Tamu;2300000;1;0;2300000;60000;2360000;completed;Kelurahan 29, Tangerang
2025-09-12;ORD00077;Customer_1902;Rak Buku;Penyimpanan;1100000;1;0;1100000;50000;1150000;completed;Kelurahan 148, Depok
2025-09-25;ORD00078;Customer_747;Lemari Sudut;Ruang Tamu;2750000;3;0;8250000;60000;8310000;completed;Kelurahan 90, Jakarta Timur
2025-11-04;ORD00079;Customer_1606;Meja Rias;Kamar Tidur;1750000;3;0;5250000;60000;5310000;completed;Kelurahan 69, Jakarta Utara
2025-01-07;ORD00080;Customer_427;Rak Buku;Penyimpanan;1100000;2;0;2200000;50000;2250000;refund;Kelurahan 88, Bogor
2025-10-25;ORD00081;Customer_3323;Sofa;Ruang Tamu;4500000;2;0;9000000;50000;9050000;completed;Kelurahan 162, Bogor
2025-01-13;ORD00082;Customer_3329;Rak Meja;Ruang Kerja;750000;3;0;2250000;60000;2310000;completed;Kelurahan 64, Jakarta Selatan
2025-07-23;ORD00083;Customer_1300;Meja Kopi;Ruang Tamu;1800000;2;0;3600000;60000;3660000;completed;Kelurahan 136, Jakarta Utara
2025-10-29;ORD00084;Customer_2537;Meja Kopi;Ruang Tamu;1800000;1;0;1800000;60000;1860000;completed;Kelurahan 42, Jakarta Utara
2025-02-19;ORD00085;Customer_2114;Kitchen Set;Dapur;9500000;1;0;9500000;50000;9550000;completed;Kelurahan 161, Bogor
2025-11-18;ORD00086;Customer_225;Meja;Ruang Kerja;1250000;1;0;1250000;60000;1310000;completed;Kelurahan 79, Tangerang Selatan
2025-12-19;ORD00087;Customer_3283;Meja Rias;Kamar Tidur;1750000;1;0;1750000;50000;1800000;completed;Kelurahan 14, Depok
2025-10-11;ORD00088;Customer_724;Meja Kopi;Ruang Tamu;1800000;2;0;3600000;60000;3660000;completed;Kelurahan 127, Jakarta Pusat
2025-01-15;ORD00089;Customer_2909;Kursi;Ruang Makan;650000;3;0;1950000;60000;2010000;completed;Kelurahan 179, Jakarta Utara
2025-01-26;ORD00090;Customer_1090;Kasur;Kamar Tidur;5500000;2;0;11000000;60000;11060000;completed;Kelurahan 28, Jakarta Barat
2025-09-17;ORD00091;Customer_3384;Meja Kopi;Ruang Tamu;1800000;3;0;5400000;60000;5460000;completed;Kelurahan 1, Tangerang Selatan
2025-12-07;ORD00092;Customer_906;Lemari Dapur;Dapur;1850000;1;0;1850000;60000;1910000;completed;Kelurahan 141, Jakarta Pusat
2025-10-10;ORD00093;Customer_2557;Kursi;Ruang Makan;650000;3;0,1;1755000;60000;1815000;completed;Kelurahan 162, Jakarta Selatan
2025-06-20;ORD00094;Customer_3328;Lemari Baju;Kamar Tidur;3500000;3;0;10500000;50000;10550000;completed;Kelurahan 91, Depok
2025-08-04;ORD00095;Customer_2144;Lemari Sliding;Kamar Tidur;4750000;3;0;14250000;60000;14310000;completed;Kelurahan 54, Jakarta Pusat
2025-03-28;ORD00096;Customer_651;Kursi;Ruang Makan;650000;3;0;1950000;60000;2010000;completed;Kelurahan 60, Jakarta Selatan
2025-12-09;ORD00097;Customer_3285;Bufet;Ruang Tamu;3250000;1;0;3250000;60000;3310000;completed;Kelurahan 144, Jakarta Pusat
2025-05-21;ORD00098;Customer_2832;Bufet;Ruang Tamu;3250000;2;0;6500000;50000;6550000;completed;Kelurahan 196, Bogor
2025-09-04;ORD00099;Customer_20;Rak Meja;Ruang Kerja;750000;2;0;1500000;50000;1550000;completed;Kelurahan 36, Bogor
2025-06-06;ORD00100;Customer_124;Nakas;Kamar Tidur;1000000;3;0,1;2700000;50000;2750000;completed;Kelurahan 197, Bogor
2025-11-08;ORD00101;Customer_2109;Lemari Laci;Kamar Tidur;1950000;2;0;3900000;50000;3950000;completed;Kelurahan 122, Depok
2025-04-01;ORD00102;Customer_1190;Sofa;Ruang Tamu;4500000;3;0;13500000;60000;13560000;completed;Kelurahan 102, Jakarta Utara
2025-07-10;ORD00103;Customer_1648;Meja Rias;Kamar Tidur;1750000;1;0;1750000;60000;1810000;completed;Kelurahan 189, Tangerang
2025-07-28;ORD00104;Customer_1096;Kitchen Set;Dapur;9500000;1;0;9500000;60000;9560000;completed;Kelurahan 5, Jakarta Barat
2025-07-20;ORD00105;Customer_891;Nakas;Kamar Tidur;1000000;3;0;3000000;60000;3060000;completed;Kelurahan 102, Jakarta Selatan
2025-12-18;ORD00106;Customer_3343;Lemari Dapur;Dapur;1850000;3;0;5550000;60000;5610000;completed;Kelurahan 118, Jakarta Barat
2025-01-10;ORD00107;Customer_362;Kasur;Kamar Tidur;5500000;1;0;5500000;50000;5550000;completed;Kelurahan 3, Depok
2025-12-03;ORD00108;Customer_2185;Lemari TV;Ruang Tamu;2300000;1;0;2300000;50000;2350000;cancelled;Kelurahan 124, Bekasi
2025-05-24;ORD00109;Customer_1253;Meja Makan;Ruang Makan;3200000;3;0;9600000;60000;9660000;completed;Kelurahan 86, Jakarta Utara
2025-08-10;ORD00110;Customer_2456;Lemari TV;Ruang Tamu;2300000;2;0;4600000;60000;4660000;completed;Kelurahan 200, Tangerang Selatan
2025-10-24;ORD00111;Customer_2869;Lemari Sliding;Kamar Tidur;4750000;3;0;14250000;60000;14310000;completed;Kelurahan 11, Tangerang
2025-03-25;ORD00112;Customer_3339;Meja Kopi;Ruang Tamu;1800000;3;0;5400000;50000;5450000;completed;Kelurahan 71, Bekasi
2025-02-26;ORD00113;Customer_1594;Kursi Bar;Ruang Makan;1295000;1;0;1295000;50000;1345000;completed;Kelurahan 125, Depok
2025-09-14;ORD00114;Customer_667;Bufet;Ruang Tamu;3250000;2;0;6500000;60000;6560000;completed;Kelurahan 31, Jakarta Selatan
2025-08-01;ORD00115;Customer_408;Kursi;Ruang Makan;650000;3;0;1950000;50000;2000000;completed;Kelurahan 81, Bekasi
2025-06-06;ORD00116;Customer_3388;Kasur;Kamar Tidur;5500000;2;0,1;9900000;50000;9950000;completed;Kelurahan 164, Depok
2025-11-21;ORD00117;Customer_2813;Rak Meja;Ruang Kerja;750000;2;0;1500000;60000;1560000;completed;Kelurahan 53, Jakarta Timur
2025-11-07;ORD00118;Customer_3259;Lemari Laci;Kamar Tidur;1950000;3;0;5850000;60000;5910000;completed;Kelurahan 40, Tangerang Selatan
2025-11-08;ORD00119;Customer_930;Kursi Bar;Ruang Makan;1295000;3;0;3885000;60000;3945000;completed;Kelurahan 176, Jakarta Timur
2025-08-06;ORD00120;Customer_1226;Kasur;Kamar Tidur;5500000;2;0;11000000;60000;11060000;completed;Kelurahan 7, Tangerang Selatan
2025-07-29;ORD00121;Customer_251;Lemari Sliding;Kamar Tidur;4750000;1;0;4750000;60000;4810000;completed;Kelurahan 82, Jakarta Utara
2025-09-24;ORD00122;Customer_612;Kursi;Ruang Makan;650000;1;0;650000;60000;710000;completed;Kelurahan 132, Tangerang Selatan
2025-08-22;ORD00123;Customer_3026;Meja Rias;Kamar Tidur;1750000;1;0;1750000;60000;1810000;completed;Kelurahan 38, Jakarta Timur
2025-08-03;ORD00124;Customer_3402;Rak Sepatu;Penyimpanan;650000;1;0;650000;60000;710000;completed;Kelurahan 54, Jakarta Pusat
2025-04-15;ORD00125;Customer_582;Bufet;Ruang Tamu;3250000;3;0;9750000;60000;9810000;refund;Kelurahan 159, Tangerang Selatan
2025-05-25;ORD00126;Customer_1561;Meja Kopi;Ruang Tamu;1800000;2;0;3600000;50000;3650000;refund;Kelurahan 172, Bogor
2025-06-15;ORD00127;Customer_1033;Kursi Bar;Ruang Makan;1295000;1;0;1295000;60000;1355000;completed;Kelurahan 129, Jakarta Selatan
2025-10-18;ORD00128;Customer_638;Meja;Ruang Kerja;1250000;1;0;1250000;60000;1310000;completed;Kelurahan 97, Tangerang Selatan
2025-03-27;ORD00129;Customer_913;Sofa;Ruang Tamu;4500000;2;0;9000000;60000;9060000;completed;Kelurahan 63, Jakarta Pusat
2025-09-16;ORD00130;Customer_1095;Meja;Ruang Kerja;1250000;1;0;1250000;60000;1310000;completed;Kelurahan 170, Jakarta Utara
2025-08-20;ORD00131;Customer_595;Bufet;Ruang Tamu;3250000;3;0;9750000;60000;9810000;completed;Kelurahan 102, Tangerang Selatan
2025-01-10;ORD00132;Customer_1195;Lemari Dapur;Dapur;1850000;2;0;3700000;60000;3760000;completed;Kelurahan 67, Jakarta Utara
2025-08-08;ORD00133;Customer_2007;Kursi;Ruang Makan;650000;3;0,1;1755000;60000;1815000;completed;Kelurahan 12, Jakarta Barat
2025-01-07;ORD00134;Customer_569;Lemari Sudut;Ruang Tamu;2750000;1;0;2750000;60000;2810000;completed;Kelurahan 2, Jakarta Pusat
2025-03-17;ORD00135;Customer_2111;Lemari Dapur;Dapur;1850000;2;0;3700000;50000;3750000;completed;Kelurahan 146, Bogor
2025-07-09;ORD00136;Customer_693;Meja;Ruang Kerja;1250000;3;0;3750000;50000;3800000;completed;Kelurahan 82, Bogor
2025-06-12;ORD00137;Customer_1923;Rak Buku;Penyimpanan;1100000;1;0;1100000;60000;1160000;completed;Kelurahan 82, Tangerang Selatan
2025-07-04;ORD00138;Customer_2553;Sofa;Ruang Tamu;4500000;3;0;13500000;60000;13560000;completed;Kelurahan 152, Jakarta Utara
2025-03-15;ORD00139;Customer_3413;Meja;Ruang Kerja;1250000;2;0;2500000;60000;2560000;completed;Kelurahan 26, Jakarta Barat
2025-02-09;ORD00140;Customer_3450;Kursi Bar;Ruang Makan;1295000;2;0;2590000;60000;2650000;completed;Kelurahan 64, Tangerang
2025-12-21;ORD00141;Customer_823;Kitchen Set;Dapur;9500000;3;0;28500000;60000;28560000;completed;Kelurahan 182, Jakarta Barat
2025-10-08;ORD00142;Customer_2443;Nakas;Kamar Tidur;1000000;2;0;2000000;60000;2060000;completed;Kelurahan 79, Tangerang Selatan
2025-04-30;ORD00143;Customer_609;Kursi Bar;Ruang Makan;1295000;2;0;2590000;60000;2650000;completed;Kelurahan 136, Jakarta Barat
2025-06-30;ORD00144;Customer_2382;Lemari Sudut;Ruang Tamu;2750000;1;0;2750000;60000;2810000;completed;Kelurahan 127, Jakarta Timur
2025-05-08;ORD00145;Customer_777;Bufet;Ruang Tamu;3250000;3;0;9750000;50000;9800000;completed;Kelurahan 6, Bogor
2025-10-13;ORD00146;Customer_2465;Meja Makan;Ruang Makan;3200000;3;0;9600000;60000;9660000;completed;Kelurahan 88, Tangerang
2025-05-16;ORD00147;Customer_1547;Sofa;Ruang Tamu;4500000;1;0;4500000;60000;4560000;completed;Kelurahan 38, Jakarta Timur
2025-05-28;ORD00148;Customer_3112;Kursi;Ruang Makan;650000;2;0;1300000;60000;1360000;completed;Kelurahan 63, Jakarta Selatan
2025-12-11;ORD00149;Customer_1099;Rak Buku;Penyimpanan;1100000;2;0;2200000;60000;2260000;refund;Kelurahan 5, Tangerang Selatan
2025-07-16;ORD00150;Customer_1271;Lemari Baju;Kamar Tidur;3500000;1;0;3500000;60000;3560000;completed;Kelurahan 86, Tangerang
2025-10-02;ORD00151;Customer_2181;Kursi;Ruang Makan;650000;2;0;1300000;50000;1350000;completed;Kelurahan 157, Bogor
2025-06-07;ORD00152;Customer_2363;Nakas;Kamar Tidur;1000000;3;0;3000000;50000;3050000;cancelled;Kelurahan 80, Bekasi
2025-02-18;ORD00153;Customer_547;Lemari Baju;Kamar Tidur;3500000;1;0;3500000;50000;3550000;completed;Kelurahan 128, Bogor
2025-09-26;ORD00154;Customer_885;Meja Kopi;Ruang Tamu;1800000;1;0;1800000;60000;1860000;completed;Kelurahan 164, Tangerang Selatan
2025-04-05;ORD00155;Customer_2692;Meja Rias;Kamar Tidur;1750000;3;0;5250000;60000;5310000;completed;Kelurahan 91, Jakarta Utara
2025-11-09;ORD00156;Customer_2750;Lemari Baju;Kamar Tidur;3500000;2;0;7000000;60000;7060000;completed;Kelurahan 172, Jakarta Timur
2025-08-04;ORD00157;Customer_3399;Meja Rias;Kamar Tidur;1750000;2;0;3500000;50000;3550000;completed;Kelurahan 185, Depok
2025-06-19;ORD00158;Customer_1757;Lemari Sudut;Ruang Tamu;2750000;3;0;8250000;60000;8310000;completed;Kelurahan 191, Tangerang Selatan
2025-12-30;ORD00159;Customer_2057;Lemari Sliding;Kamar Tidur;4750000;2;0;9500000;50000;9550000;completed;Kelurahan 194, Bekasi
2025-12-28;ORD00160;Customer_518;Bufet;Ruang Tamu;3250000;2;0;6500000;60000;6560000;completed;Kelurahan 46, Tangerang Selatan
2025-10-20;ORD00161;Customer_2887;Meja;Ruang Kerja;1250000;3;0;3750000;60000;3810000;completed;Kelurahan 5, Jakarta Timur
2025-12-05;ORD00162;Customer_1654;Rak Sepatu;Penyimpanan;650000;1;0;650000;60000;710000;completed;Kelurahan 112, Jakarta Timur
2025-02-25;ORD00163;Customer_139;Lemari Laci;Kamar Tidur;1950000;2;0;3900000;60000;3960000;refund;Kelurahan 49, Jakarta Timur
2025-07-05;ORD00164;Customer_1466;Kursi Bar;Ruang Makan;1295000;1;0;1295000;60000;1355000;completed;Kelurahan 88, Tangerang
2025-02-07;ORD00165;Customer_2952;Lemari TV;Ruang Tamu;2300000;2;0;4600000;50000;4650000;completed;Kelurahan 23, Depok
2025-02-09;ORD00166;Customer_12;Rak Meja;Ruang Kerja;750000;3;0;2250000;60000;2310000;completed;Kelurahan 123, Jakarta Utara
2025-09-22;ORD00167;Customer_322;Kitchen Set;Dapur;9500000;1;0;9500000;60000;9560000;completed;Kelurahan 195, Jakarta Selatan
2025-11-14;ORD00168;Customer_2294;Rak Sepatu;Penyimpanan;650000;1;0;650000;50000;700000;completed;Kelurahan 136, Depok
2025-06-08;ORD00169;Customer_2798;Rak Meja;Ruang Kerja;750000;2;0;1500000;60000;1560000;completed;Kelurahan 113, Jakarta Selatan
2025-07-05;ORD00170;Customer_943;Lemari Baju;Kamar Tidur;3500000;2;0;7000000;60000;7060000;refund;Kelurahan 111, Jakarta Timur
2025-07-11;ORD00171;Customer_2680;Kursi Bar;Ruang Makan;1295000;1;0;1295000;50000;1345000;completed;Kelurahan 172, Bogor
2025-06-18;ORD00172;Customer_1414;Rak Buku;Penyimpanan;1100000;1;0;1100000;60000;1160000;completed;Kelurahan 26, Jakarta Utara
2025-01-03;ORD00173;Customer_3392;Kursi Bar;Ruang Makan;1295000;3;0;3885000;50000;3935000;cancelled;Kelurahan 179, Bogor
2025-03-22;ORD00174;Customer_245;Kursi Bar;Ruang Makan;1295000;3;0;3885000;60000;3945000;completed;Kelurahan 59, Tangerang
2025-03-20;ORD00175;Customer_450;Kitchen Set;Dapur;9500000;2;0;19000000;50000;19050000;completed;Kelurahan 80, Depok
2025-01-11;ORD00176;Customer_2165;Lemari Laci;Kamar Tidur;1950000;2;0;3900000;50000;3950000;completed;Kelurahan 127, Bogor
2025-05-25;ORD00177;Customer_1713;Meja;Ruang Kerja;1250000;1;0;1250000;60000;1310000;completed;Kelurahan 81, Jakarta Utara
2025-05-12;ORD00178;Customer_1463;Meja Rias;Kamar Tidur;1750000;3;0;5250000;60000;5310000;completed;Kelurahan 127, Tangerang Selatan
2025-04-17;ORD00179;Customer_2593;Rak Buku;Penyimpanan;1100000;3;0;3300000;60000;3360000;completed;Kelurahan 30, Jakarta Barat
2025-07-29;ORD00180;Customer_1544;Kasur;Kamar Tidur;5500000;2;0;11000000;60000;11060000;completed;Kelurahan 85, Tangerang Selatan
2025-11-14;ORD00181;Customer_1451;Kursi Bar;Ruang Makan;1295000;3;0;3885000;60000;3945000;completed;Kelurahan 81, Jakarta Timur
2025-01-20;ORD00182;Customer_2821;Meja Rias;Kamar Tidur;1750000;3;0;5250000;50000;5300000;completed;Kelurahan 92, Bekasi
2025-03-15;ORD00183;Customer_1877;Sofa;Ruang Tamu;4500000;2;0;9000000;50000;9050000;completed;Kelurahan 28, Bogor
2025-12-30;ORD00184;Customer_856;Kasur;Kamar Tidur;5500000;3;0;16500000;60000;16560000;completed;Kelurahan 124, Jakarta Barat
2025-05-01;ORD00185;Customer_61;Lemari Sliding;Kamar Tidur;4750000;3;0;14250000;60000;14310000;completed;Kelurahan 74, Jakarta Selatan
2025-04-03;ORD00186;Customer_121;Lemari Sudut;Ruang Tamu;2750000;3;0;8250000;60000;8310000;completed;Kelurahan 37, Jakarta Utara
2025-09-25;ORD00187;Customer_1292;Rak Meja;Ruang Kerja;750000;3;0;2250000;50000;2300000;completed;Kelurahan 144, Depok
